"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 24 16:46:50 GMT+04:00 2023","Sat Jun 24 16:46:59 GMT+04:00 2023","9508","","test.PayPageTest","","test.PayPageTest","shouldFillValidValuesWithApprovedResult","Успешная операция с валидными значениями",""
"passed","Sat Jun 24 16:46:20 GMT+04:00 2023","Sat Jun 24 16:46:22 GMT+04:00 2023","1944","","test.PayPageTest","","test.PayPageTest","shouldToShortCVC","shouldToShortCVC()",""
"passed","Sat Jun 24 16:47:00 GMT+04:00 2023","Sat Jun 24 16:47:01 GMT+04:00 2023","837","","test.PayPageTest","","test.PayPageTest","shouCodeCVCWithSymbols","shouCodeCVCWithSymbols()",""
"failed","Sat Jun 24 16:47:02 GMT+04:00 2023","Sat Jun 24 16:47:07 GMT+04:00 2023","5461","","test.PayPageTest","","test.PayPageTest","shouldToLongCVC","shouldToLongCVC()",""
"passed","Sat Jun 24 16:46:17 GMT+04:00 2023","Sat Jun 24 16:46:19 GMT+04:00 2023","1461","","test.PayPageTest","","test.PayPageTest","shouldYearPlusSix","shouldYearPlusSix()",""
"failed","Sat Jun 24 16:46:22 GMT+04:00 2023","Sat Jun 24 16:46:29 GMT+04:00 2023","6870","","test.PayPageTest","","test.PayPageTest","shouldNameWithSymbols","shouldNameWithSymbols()",""
"failed","Sat Jun 24 16:46:29 GMT+04:00 2023","Sat Jun 24 16:46:35 GMT+04:00 2023","5694","","test.PayPageTest","","test.PayPageTest","shouldToLongCardNumber","shouldToLongCardNumber()",""
"failed","Sat Jun 24 16:46:38 GMT+04:00 2023","Sat Jun 24 16:46:44 GMT+04:00 2023","5683","","test.PayPageTest","","test.PayPageTest","shouldToLongName","shouldToLongName()",""
"passed","Sat Jun 24 16:46:19 GMT+04:00 2023","Sat Jun 24 16:46:20 GMT+04:00 2023","1436","","test.PayPageTest","","test.PayPageTest","shouldInvalidToShortCardNumber","Невалидные значения полей",""
"failed","Sat Jun 24 16:47:07 GMT+04:00 2023","Sat Jun 24 16:47:23 GMT+04:00 2023","16380","","test.PayPageTest","","test.PayPageTest","shouldInvalidCardNumberWithAnotherNumbers","shouldInvalidCardNumberWithAnotherNumbers()",""
"failed","Sat Jun 24 16:46:44 GMT+04:00 2023","Sat Jun 24 16:46:50 GMT+04:00 2023","5548","","test.PayPageTest","","test.PayPageTest","shouldNameWithRussianLetters","shouldNameWithRussianLetters()",""
"passed","Sat Jun 24 16:46:37 GMT+04:00 2023","Sat Jun 24 16:46:38 GMT+04:00 2023","687","","test.PayPageTest","","test.PayPageTest","shouldEmptyCardHolder","shouldEmptyCardHolder()",""
"passed","Sat Jun 24 16:46:36 GMT+04:00 2023","Sat Jun 24 16:46:37 GMT+04:00 2023","769","","test.PayPageTest","","test.PayPageTest","shouldPastYear","shouldPastYear()",""
"failed","Sat Jun 24 16:47:29 GMT+04:00 2023","Sat Jun 24 16:47:45 GMT+04:00 2023","15845","","test.PayPageTest","","test.PayPageTest","shouldFillValidValuesWithDeclinedResult","Отклоненная операция с валидными значениями",""
"passed","Sat Jun 24 16:46:15 GMT+04:00 2023","Sat Jun 24 16:46:17 GMT+04:00 2023","2127","","test.PayPageTest","","test.PayPageTest","shouldPastMonth","shouldPastMonth()",""
"passed","Sat Jun 24 16:46:35 GMT+04:00 2023","Sat Jun 24 16:46:35 GMT+04:00 2023","806","","test.PayPageTest","","test.PayPageTest","shouldUnrealMonth","shouldUnrealMonth()",""
"passed","Sat Jun 24 16:46:35 GMT+04:00 2023","Sat Jun 24 16:46:36 GMT+04:00 2023","866","","test.PayPageTest","","test.PayPageTest","shouldEmptyCVC","shouldEmptyCVC()",""
"passed","Sat Jun 24 16:47:01 GMT+04:00 2023","Sat Jun 24 16:47:02 GMT+04:00 2023","716","","test.PayPageTest","","test.PayPageTest","shouldEmptyYearNumber","shouldEmptyYearNumber()",""
"passed","Sat Jun 24 16:46:05 GMT+04:00 2023","Sat Jun 24 16:46:15 GMT+04:00 2023","9841","","test.PayPageTest","","test.PayPageTest","shouldEmptyMonthNumber","shouldEmptyMonthNumber()",""
"passed","Sat Jun 24 16:46:59 GMT+04:00 2023","Sat Jun 24 16:47:00 GMT+04:00 2023","802","","test.PayPageTest","","test.PayPageTest","shouldCardNumberWithSymbols","shouldCardNumberWithSymbols()",""
"passed","Sat Jun 24 16:46:38 GMT+04:00 2023","Sat Jun 24 16:46:38 GMT+04:00 2023","668","","test.PayPageTest","","test.PayPageTest","shouldEmptyCardNumber","Незаполненные поля",""
"failed","Sat Jun 24 16:47:23 GMT+04:00 2023","Sat Jun 24 16:47:29 GMT+04:00 2023","5348","","test.PayPageTest","","test.PayPageTest","shouldToShortName","shouldToShortName()",""
